Timestamp,Feature,Category,Tone,HasInstructions
2026-03-04 12:14:32,テスト（自動送信）,-,丁寧,False
2026-03-04 12:41:55,返信作成,お弁当デリ／営業,簡潔・端的,False
2026-03-04 14:30:15,お弁当デリCS返信,指定なし,簡潔・端的,False
2026-03-04 14:50:47,お弁当デリCS返信,配送・遅延・未着,簡潔・端的,True
2026-03-04 14:51:05,お弁当デリCS返信,配送・遅延・未着,簡潔・端的,True
2026-03-04 14:54:38,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,True
2026-03-04 14:56:47,お弁当デリCS返信,その他,簡潔・端的,True
2026-03-04 14:58:03,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,True
2026-03-04 15:41:46,お弁当デリCS返信,注文・変更・キャンセル,簡潔・端的,True
2026-03-04 15:48:48,お弁当デリCS返信,注文・変更・キャンセル,丁寧（標準）,True
2026-03-05 13:54:45,お弁当デリCS返信,注文・変更・キャンセル,簡潔・端的,False
2026-03-05 13:55:32,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,False
2026-03-05 14:09:43,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,False
2026-03-05 14:10:10,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,True
2026-03-05 14:10:38,お弁当デリCS返信,請求・領収書・支払い,簡潔・端的,True
2026-03-05 14:11:35,お弁当デリCS返信,注文・変更・キャンセル,簡潔・端的,False
2026-03-10 16:14:28,返信作成,お弁当デリ／配送,簡潔・端的,True
2026-03-10 16:15:34,新規作成,-,丁寧,True
2026-03-10 16:15:53,新規作成,-,簡潔・端的,True
2026-03-11 11:05:59,返信作成,その他,柔らかめ・親しみやすい,True
2026-03-11 11:06:18,返信作成,社食DELi／営業,柔らかめ・親しみやすい,True
2026-03-11 11:07:23,返信作成,社食DELi／営業,柔らかめ・親しみやすい,True
2026-03-11 11:09:11,返信作成,社食DELi／営業,柔らかめ・親しみやすい,True
2026-03-11 11:59:47,返信作成,社食DELi／営業,柔らかめ・親しみやすい,False
2026-03-11 12:00:45,返信作成,社食DELi／営業,柔らかめ・親しみやすい,True
2026-03-11 14:24:00,返信作成,社食DELi／営業,簡潔・端的,True
